	SRR7093809	SRR7093811	SRR7093812	SRR7093813	SRR7093814	SRR7093815	SRR7093816	SRR7093819	SRR7093821	SRR7093822	SRR7093824	SRR7093826	SRR7093827	SRR7093828	SRR7093829	SRR7093830	SRR7093832	SRR7093833	SRR7093834	SRR7093835	SRR7093836	SRR7093838	SRR7093839	SRR7093840	SRR7093842	SRR7093843	SRR7093845	SRR7093846	SRR7093847	SRR7093848	SRR7093850	SRR7093852	SRR7093854	SRR7093855	SRR7093856	SRR7093857	SRR7093858	SRR7093859	SRR7093860	SRR7093861	SRR7093862	SRR7093863	SRR7093864	SRR7093865	SRR7093866	SRR7093867	SRR7093869	SRR7093870	SRR7093871	SRR7093872	SRR7093873	SRR7093874	SRR7093875	SRR7093876	SRR7093877	SRR7093878	SRR7093879	SRR7093882	SRR7093883	SRR7093884	SRR7093887	SRR7093888	SRR7093889	SRR7093890	SRR7093891	SRR7093892	SRR7093893	SRR7093894	SRR7093895	SRR7093896	SRR7093897	SRR7093898	SRR7093899	SRR7093900	SRR7093901	SRR7093902	SRR7093903	SRR7093904	SRR7093905	SRR7093906	SRR7093907	SRR7093908	SRR7093909	SRR7093910	SRR7093911	SRR7093912	SRR7093913	SRR7093914	SRR7093915	SRR7093916	SRR7093917	SRR7093918	SRR7093919	SRR7093920	SRR7093921	SRR7093922	SRR7093923	SRR7093924	SRR7093925	SRR7093926	SRR7093927	SRR7093929	SRR7093930	SRR7093931	SRR7093932	SRR7093933	SRR7093934	SRR7093937	SRR7093940	SRR7093942	SRR7093943	SRR7093945	SRR7093946	SRR7093947	SRR7093948	SRR7093950
ENSG00000163689.22	17	25	26	23	20	20	29	23	29	24	18	18	17	20	20	19	14	28	27	31	11	29	26	14	33	17	22	20	33	22	19	27	20	18	22	25	24	13	28	16	29	16	12	12	27	13	14	28	21	35	33	17	20	23	21	20	24	15	25	22	23	17	23	24	24	18	19	23	16	16	17	21	19	29	20	32	24	22	18	22	23	20	13	15	26	15	22	20	17	15	22	24	16	11	11	20	7	11	19	18	24	15	24	28	20	29	21	24	22	10	11	19	18	20	23	22
ENSG00000163694.16	15	16	15	15	16	15	12	12	11	9	3	18	9	16	15	10	4	12	8	16	7	14	17	9	9	10	20	82	12	17	5	16	16	18	31	14	25	18	7	11	13	14	13	6	8	12	11	12	18	22	10	10	13	4	5	2	15	11	40	11	14	9	11	15	18	12	16	13	20	9	10	12	29	25	20	9	13	12	11	15	9	8	17	13	17	5	8	5	3	10	3	18	10	5	12	5	13	9	8	1	12	15	13	9	9	6	40	13	6	8	4	1	5	1	4	1
ENSG00000163728.12	52	48	55	62	60	61	63	48	68	59	71	59	69	63	54	50	63	49	49	52	67	48	57	61	59	78	67	57	60	55	66	50	53	55	54	56	52	52	53	76	81	76	64	80	71	68	78	74	66	73	65	52	61	60	58	55	67	66	57	64	39	64	62	58	60	55	62	61	54	59	57	54	60	52	60	64	61	64	59	59	53	68	63	65	59	66	66	66	64	70	61	61	62	66	68	72	70	75	69	68	61	68	67	64	64	57	67	62	66	75	69	54	59	59	60	58
ENSG00000163743.15	28	28	33	29	27	28	33	30	29	28	33	33	32	31	28	30	32	28	28	33	30	32	26	31	29	38	32	31	28	36	31	29	28	31	32	26	26	23	28	40	47	47	35	35	39	41	45	48	34	47	40	27	32	27	27	31	30	28	28	36	22	27	25	30	32	24	33	32	27	28	23	26	33	27	31	32	29	28	33	27	28	28	30	28	27	33	28	32	29	25	25	26	37	34	40	40	37	36	38	40	27	27	31	31	36	29	44	28	28	32	33	30	30	33	30	33
ENSG00000163785.15	77	76	74	74	72	77	82	70	79	76	86	73	83	80	72	76	82	69	76	77	84	75	77	77	72	86	73	69	74	77	77	73	67	76	65	73	72	71	74	86	86	86	82	80	86	84	84	85	80	86	80	77	76	76	76	81	75	77	80	79	76	78	74	78	75	70	77	78	71	76	77	72	77	72	74	75	75	79	71	74	73	74	73	78	73	79	73	73	79	77	76	75	82	78	82	82	79	79	79	84	73	73	78	82	84	75	87	81	81	80	83	74	79	78	78	80
ENSG00000163808.18	47	64	42	43	36	57	50	52	65	60	36	53	12	26	49	48	19	53	65	59	29	71	48	43	66	32	57	63	60	52	32	63	30	27	59	60	59	28	43	15	22	21	25	20	15	29	19	33	28	17	35	56	54	63	64	46	61	16	39	38	47	44	66	55	53	43	41	41	52	46	43	49	34	48	53	59	59	34	63	50	61	47	34	29	58	34	53	37	19	54	47	51	42	38	10	18	17	8	29	19	54	37	41	53	28	54	14	49	33	19	20	53	47	49	50	41
ENSG00000163814.9	32	70	82	74	59	61	48	85	60	68	54	81	36	44	64	65	40	79	39	26	33	63	61	74	79	39	87	77	80	68	41	47	80	85	77	59	69	48	80	66	21	41	38	39	16	48	27	49	50	36	13	68	50	45	69	20	68	37	60	25	28	55	42	29	65	72	49	58	68	36	41	60	67	56	46	46	42	59	38	68	45	53	69	54	33	25	50	23	39	43	41	72	31	25	43	14	27	9	24	30	72	47	61	16	25	23	21	59	24	9	2	37	49	19	70	60
ENSG00000163815.7	20	40	61	54	21	25	73	19	40	52	87	24	34	84	55	16	79	44	34	38	91	33	68	39	13	47	33	35	43	24	55	47	33	38	29	41	27	57	25	65	63	59	93	91	78	70	65	29	92	63	55	24	8	10	27	40	27	26	78	18	59	46	25	15	18	8	36	51	18	43	32	19	28	36	33	19	14	30	66	45	59	14	21	75	35	36	59	32	61	22	45	21	74	88	62	63	61	84	63	53	52	22	32	75	46	68	75	57	49	49	96	57	48	67	30	26
ENSG00000163818.21	39	40	46	45	38	50	59	36	56	49	56	39	53	55	44	36	51	43	42	50	48	46	49	45	42	58	45	35	42	46	46	37	34	48	41	37	38	38	35	58	60	55	56	52	54	53	59	59	57	67	60	44	40	44	39	42	46	42	43	43	38	53	50	45	38	39	42	35	41	41	42	41	47	41	36	40	38	45	43	44	39	48	42	42	40	38	51	42	45	54	44	38	47	45	48	50	55	49	52	53	43	50	43	48	47	42	49	46	48	48	50	40	41	43	39	41
ENSG00000163832.17	53	55	57	48	51	54	44	55	47	45	40	49	49	44	52	54	46	51	56	54	42	58	46	55	56	47	56	55	53	53	52	50	48	51	55	52	51	48	52	45	43	43	41	55	44	56	49	52	48	41	45	50	52	55	57	58	59	49	58	53	56	55	52	56	55	58	56	49	53	55	55	56	47	55	48	50	57	54	53	55	55	51	52	50	54	53	50	51	42	49	54	51	47	50	48	47	51	49	46	47	57	52	52	51	50	56	51	52	48	51	48	57	54	52	53	53
ENSG00000163872.17	77	83	76	86	78	81	83	76	78	77	86	77	83	78	69	74	85	77	80	76	82	77	86	78	78	85	78	74	75	78	72	72	67	73	78	73	76	74	72	79	83	83	84	81	80	86	83	86	80	83	83	83	78	85	75	84	76	82	77	82	84	77	73	77	71	73	83	80	77	75	74	69	78	73	75	73	76	85	80	79	72	78	82	82	78	83	80	77	84	70	72	76	79	83	81	87	86	81	79	84	77	83	76	83	82	80	90	81	83	82	80	79	78	83	81	87
ENSG00000163877.11	46	50	52	34	32	38	47	40	49	43	44	46	46	55	48	50	53	45	52	36	49	49	42	49	46	42	40	49	44	41	50	54	53	55	43	46	43	60	51	40	50	48	42	38	46	43	47	47	40	47	47	54	46	43	56	41	41	42	50	39	59	42	38	39	40	53	45	38	43	43	44	33	50	40	45	39	46	39	40	39	46	47	46	46	46	44	48	33	40	38	37	39	47	44	44	47	45	45	49	43	47	46	45	39	43	48	42	52	42	43	44	43	41	39	39	41
ENSG00000163918.13	49	49	46	36	42	44	39	45	44	50	29	49	31	28	45	46	34	48	54	45	32	51	44	51	55	33	43	52	52	42	49	52	41	48	44	44	54	41	49	28	41	27	24	34	34	37	41	33	33	35	34	56	58	58	51	46	58	37	55	48	48	47	47	56	51	47	45	49	43	37	36	49	39	52	50	58	51	41	50	54	48	50	45	32	53	39	51	42	32	52	43	39	38	33	28	27	30	28	33	26	46	36	42	37	30	50	29	47	34	35	34	49	43	37	44	46
ENSG00000163930.10	82	80	75	80	80	80	78	82	79	79	78	79	77	79	82	82	78	82	78	80	79	78	81	76	79	79	75	78	78	81	76	81	81	77	77	81	80	81	80	75	72	76	77	83	79	73	82	75	78	76	70	79	77	79	81	79	79	78	76	79	84	79	79	78	78	79	79	79	78	81	81	81	77	81	80	75	79	79	81	82	84	80	81	79	81	80	78	79	79	78	80	80	75	79	73	78	77	78	72	78	83	79	80	78	75	77	79	80	77	75	75	81	83	78	80	78
ENSG00000163935.15	27	22	20	17	19	17	16	25	17	19	13	12	10	16	17	15	21	20	22	17	10	21	20	14	21	12	16	18	21	13	26	27	17	18	20	25	21	19	22	18	24	17	17	17	19	17	21	21	17	27	20	26	24	15	18	22	16	12	21	33	17	18	29	22	18	17	29	21	22	19	18	24	18	21	25	18	22	16	17	20	19	31	20	15	18	12	18	14	22	14	17	20	21	12	15	17	8	18	16	19	20	16	17	20	18	24	21	24	19	30	24	23	20	23	19	25
ENSG00000163939.20	87	89	88	85	82	86	85	84	88	85	86	89	83	84	87	86	84	88	88	89	88	90	89	85	89	89	85	88	87	87	86	88	84	83	86	87	87	82	87	85	84	85	83	72	86	85	84	85	85	85	84	90	87	88	88	85	88	80	86	85	84	82	85	81	82	73	85	88	86	86	88	84	85	85	86	83	79	86	88	88	87	85	83	85	84	84	87	87	86	85	87	86	80	80	81	81	84	76	83	83	87	80	85	85	86	85	84	86	84	78	86	88	88	89	87	88
ENSG00000163945.20	67	43	40	41	58	47	46	38	39	41	51	52	49	51	72	48	50	47	37	37	55	38	52	44	42	44	39	38	40	51	46	39	62	49	39	48	38	59	46	50	46	38	47	24	43	48	36	43	40	41	49	63	41	43	45	49	39	51	67	43	46	46	47	42	37	34	42	43	50	59	59	63	45	58	59	37	38	42	45	41	47	50	45	41	40	42	40	57	58	37	45	48	41	27	42	35	37	38	51	42	45	46	53	44	40	42	48	55	49	46	48	52	52	45	49	41
ENSG00000163946.15	81	71	69	76	75	82	82	69	77	75	78	77	80	78	75	72	81	70	74	82	75	73	78	79	68	81	80	68	75	80	74	78	68	74	84	74	70	62	76	87	89	87	82	81	83	85	83	87	85	87	87	76	65	67	67	69	72	67	70	72	56	73	68	76	81	65	78	76	78	75	70	81	75	74	83	77	79	75	77	74	74	79	68	81	76	82	76	77	78	78	78	79	84	82	82	85	83	84	87	82	74	80	77	78	82	76	81	69	81	76	79	76	77	80	78	79
ENSG00000163950.14	75	75	77	60	70	67	66	71	76	77	63	65	64	62	70	72	65	69	79	67	67	71	69	72	78	64	68	74	69	64	74	74	66	76	70	69	76	73	78	65	68	65	62	67	59	69	65	64	66	62	59	78	78	79	77	74	74	71	77	76	79	75	79	74	77	75	75	77	73	69	72	76	71	78	72	78	75	73	74	72	74	65	68	66	71	65	75	71	65	77	71	69	72	70	57	65	65	54	65	62	69	69	72	67	65	71	65	73	64	69	70	72	72	69	71	66
ENSG00000163961.4	42	54	51	47	50	42	47	44	51	46	50	50	58	53	53	55	50	47	55	49	48	56	54	46	54	49	48	58	49	54	51	45	45	57	46	45	49	54	52	48	52	51	40	44	45	49	49	51	44	50	52	51	50	50	56	47	55	40	43	40	55	46	53	43	42	39	44	47	46	44	49	42	44	39	46	52	44	44	49	48	48	43	49	42	47	45	45	45	47	53	50	45	50	41	43	42	45	44	50	45	45	38	46	46	45	40	38	54	51	37	34	41	39	47	33	42
ENSG00000163975.15	22	24	23	21	23	14	24	21	23	16	19	28	29	23	21	27	39	20	14	13	23	22	24	22	22	18	19	27	24	22	41	27	27	32	32	26	33	15	29	13	14	22	21	25	22	12	19	22	15	16	31	28	36	18	26	35	28	25	28	28	41	23	30	29	25	27	30	23	39	42	25	21	36	43	31	44	28	23	30	27	22	19	26	25	43	27	28	22	33	19	30	28	17	18	28	26	16	16	15	20	24	41	29	21	17	29	24	34	25	46	34	29	19	36	25	17
ENSG00000164002.13	28	39	42	31	30	31	28	34	30	32	27	33	31	29	39	36	31	33	39	36	29	37	33	36	40	29	33	43	33	34	38	34	32	35	33	29	38	36	35	34	31	38	18	31	34	39	35	35	30	22	37	36	45	39	36	35	42	37	33	31	39	38	43	37	36	38	35	36	40	37	31	38	32	36	40	45	39	30	35	32	35	39	34	34	36	31	41	38	33	42	33	37	31	29	34	32	35	40	32	32	31	30	32	30	32	33	34	35	32	36	26	29	31	28	27	32
ENSG00000164010.16	44	43	40	51	48	41	50	44	50	50	66	40	58	60	41	38	52	41	44	49	66	45	55	38	41	61	47	42	41	47	41	50	44	41	50	46	40	56	44	63	67	70	62	67	69	64	65	68	63	72	69	43	36	41	49	47	47	52	46	50	42	48	45	48	43	48	39	39	52	56	60	44	49	41	42	42	45	55	50	46	48	45	45	55	45	57	44	47	63	47	53	48	56	57	62	60	67	65	64	61	40	55	50	55	53	46	47	52	55	52	55	40	41	46	41	39
ENSG00000164022.19	74	72	75	70	75	71	83	72	85	80	81	74	84	85	75	74	76	70	81	78	85	78	69	78	75	87	78	76	78	69	79	70	71	72	71	75	74	63	71	84	85	90	81	87	79	83	87	87	79	91	81	80	76	75	73	76	79	77	71	83	67	78	77	80	74	69	83	77	72	83	73	76	78	77	78	82	74	75	72	76	74	75	79	83	74	78	74	70	81	82	76	75	89	90	86	85	89	77	85	82	76	80	77	78	90	76	73	77	82	84	86	78	75	76	72	82
ENSG00000164024.13	78	75	89	88	91	88	76	78	77	74	66	91	78	72	76	74	75	91	76	77	68	90	78	84	87	71	85	92	85	85	83	84	90	77	88	86	82	76	82	83	80	75	66	69	80	74	81	78	80	81	78	90	86	87	84	86	84	74	73	78	71	70	66	80	81	84	83	82	79	73	75	83	84	74	82	78	87	82	75	71	90	84	76	65	74	72	83	72	73	86	80	71	80	81	66	73	74	63	78	73	71	77	84	71	71	70	84	77	72	73	77	78	75	83	71	73
ENSG00000164032.13	95	94	94	92	94	96	92	95	93	94	83	95	80	83	94	95	86	95	96	96	77	96	93	93	96	83	95	95	96	95	92	95	89	91	96	95	95	86	95	83	88	85	82	92	81	87	85	81	90	85	87	95	94	96	96	93	96	78	89	93	93	91	94	96	97	95	95	94	93	92	91	96	93	96	96	96	96	91	95	96	95	94	89	88	96	88	95	90	83	95	94	94	90	86	77	85	85	73	82	77	96	93	94	93	85	95	84	94	90	84	88	95	94	92	94	94
ENSG00000164038.17	36	66	74	64	70	72	81	62	81	78	42	66	64	61	67	63	57	74	61	67	52	65	75	58	71	50	78	70	72	76	80	59	73	76	77	61	72	69	60	57	56	58	50	46	40	54	57	56	46	62	75	44	73	63	60	39	71	44	68	51	73	59	61	59	65	77	47	43	65	58	59	57	64	62	73	73	55	41	64	62	60	67	73	66	60	54	69	62	54	76	84	58	56	48	57	52	64	51	58	54	37	51	50	44	55	45	42	51	68	61	52	43	44	45	41	42
ENSG00000164039.16	60	49	47	61	55	58	72	47	70	62	64	52	73	69	55	56	64	53	41	55	74	48	63	54	49	72	59	54	58	62	55	44	51	53	48	56	52	56	48	80	78	75	72	72	77	70	76	73	66	76	72	50	43	53	48	48	55	64	56	61	59	61	44	54	50	68	57	54	49	59	60	44	60	44	44	49	50	57	48	47	55	60	52	64	47	69	54	61	70	57	64	52	67	59	80	63	75	80	73	75	46	61	56	59	68	50	52	54	63	66	69	54	50	50	59	51
ENSG00000164040.18	69	82	84	85	76	83	87	77	86	83	89	81	93	82	78	81	93	77	84	81	88	80	78	84	80	92	85	80	84	82	92	82	78	84	78	81	79	83	71	94	96	92	93	93	92	93	94	95	89	96	91	84	81	80	81	84	75	87	89	85	83	90	90	83	86	81	85	85	81	78	79	84	87	81	87	88	84	84	81	85	80	83	85	88	79	89	88	80	91	88	82	79	94	91	92	96	91	93	93	96	82	88	82	89	93	91	93	85	90	94	90	83	82	90	86	90
ENSG00000164045.13	39	39	50	24	30	37	28	38	33	32	13	41	11	14	33	33	13	31	42	42	20	37	30	37	45	21	30	41	42	27	37	38	26	38	35	26	34	28	35	21	18	12	11	13	10	17	18	26	23	11	17	38	54	48	41	34	39	16	41	33	31	32	39	41	35	40	23	34	39	32	29	38	22	40	40	36	28	23	37	38	31	34	31	22	33	19	39	25	11	33	32	25	26	20	13	13	20	7	24	13	26	19	28	20	14	34	15	27	16	22	17	27	30	23	32	33
ENSG00000164053.23	30	43	35	36	29	42	29	39	37	41	23	29	23	24	35	41	25	38	40	36	22	36	28	38	37	23	41	34	38	26	29	45	41	42	36	35	44	30	36	37	36	28	26	29	23	37	34	31	27	36	30	40	33	42	38	34	46	22	29	30	32	35	37	38	38	27	27	38	37	38	33	38	32	36	38	34	32	28	38	36	40	32	29	32	34	28	35	36	31	36	37	34	30	27	34	33	32	34	33	32	33	28	31	32	30	36	26	30	31	30	24	32	33	28	30	35
ENSG00000164056.12	9	5	2	11	6	1	3	1	10	5	19	1	14	5	4	3	26	2	3	4	12	4	8	1	4	17	6	1	1	11	15	6	4	3	5	15	8	13	15	26	18	34	11	11	36	31	19	27	4	10	9	15	7	4	2	27	7	20	9	3	9	1	5	3	2	1	11	14	3	4	36	4	13	3	7	6	10	19	15	9	6	6	14	7	4	24	7	7	7	5	18	3	27	20	22	22	12	27	31	24	6	4	9	19	16	19	25	6	17	17	45	4	16	23	14	16
ENSG00000164074.18	20	22	21	27	20	23	33	20	30	24	26	22	28	36	22	22	25	23	29	26	35	20	20	19	20	27	31	23	29	22	30	22	22	25	25	19	25	20	22	38	37	38	27	29	45	37	38	36	30	40	31	20	23	26	31	26	28	23	23	27	19	23	26	26	20	22	31	23	20	22	19	22	21	21	28	24	20	24	25	28	29	24	21	22	23	21	28	21	25	24	23	22	24	22	29	34	31	29	31	32	19	23	21	20	28	21	38	18	27	24	24	21	19	23	25	28
ENSG00000164077.16	28	35	35	32	36	31	25	34	30	35	26	34	29	24	29	32	30	32	32	29	28	33	30	35	33	27	32	34	35	36	31	33	45	49	43	33	31	45	33	27	18	22	30	35	29	26	27	20	26	32	27	29	32	31	31	33	30	45	31	28	33	29	31	31	41	34	30	31	35	42	31	32	34	41	28	32	33	30	28	32	32	37	38	36	33	35	28	37	31	33	33	36	33	43	31	37	30	32	35	32	33	29	29	29	41	30	37	34	30	36	30	34	32	31	30	38
ENSG00000164086.10	70	63	66	64	64	59	65	65	62	65	67	61	61	67	65	62	62	68	70	70	63	65	70	59	62	62	62	65	60	62	58	66	77	62	73	67	67	62	66	60	51	55	64	59	57	64	55	54	60	52	62	58	62	57	55	67	57	65	59	66	63	55	60	50	49	64	62	61	59	61	63	62	59	59	63	60	60	64	65	58	58	61	62	63	56	59	58	65	71	60	56	58	59	63	58	63	54	61	57	59	69	66	68	66	64	57	70	63	61	62	63	65	66	61	69	62
ENSG00000164087.9	52	64	51	48	50	60	42	60	51	59	29	45	16	23	47	49	23	57	53	61	32	65	49	42	61	22	51	49	58	46	43	58	46	36	58	62	61	45	63	20	26	21	20	28	21	25	24	34	34	19	29	53	54	50	58	46	57	26	41	46	56	45	56	66	64	58	43	42	51	49	50	57	38	60	54	53	52	35	56	59	54	55	39	41	62	29	52	43	33	50	53	49	32	28	20	21	20	13	18	28	62	39	48	43	24	53	17	47	38	28	28	52	53	46	51	43
ENSG00000164088.19	38	41	41	42	47	41	45	39	49	44	56	35	51	55	37	41	44	40	41	40	56	37	47	35	38	51	41	39	37	44	35	44	43	45	37	36	38	41	42	55	58	68	60	68	66	58	64	58	62	65	52	45	36	40	36	48	37	50	38	46	42	50	43	42	45	49	47	36	52	56	50	44	45	45	37	31	42	48	38	41	41	52	38	51	38	45	41	50	54	37	45	47	57	49	55	60	54	60	50	57	41	52	48	55	44	42	54	48	49	46	59	42	47	50	47	48
ENSG00000164091.13	91	89	89	89	90	91	88	89	90	89	91	90	90	90	90	90	91	89	89	90	89	90	90	88	90	91	90	89	90	91	89	90	88	90	89	88	89	88	89	91	92	92	91	90	91	91	92	91	91	92	91	89	89	91	90	90	91	90	87	90	87	89	89	91	89	87	91	90	88	90	90	89	88	90	90	90	89	91	91	90	90	90	88	89	90	90	91	90	90	90	90	89	90	89	90	90	90	90	91	91	90	90	90	90	88	89	91	90	89	88	91	89	90	90	88	92
ENSG00000164096.14	88	89	91	93	92	93	92	91	92	89	95	93	95	94	92	92	94	93	92	93	93	89	93	91	89	95	94	89	92	94	93	90	89	90	90	90	86	90	86	95	96	96	95	97	95	96	95	96	95	96	96	85	91	92	86	93	86	92	93	90	87	94	91	91	93	90	91	94	93	91	90	91	94	89	93	95	92	93	91	91	92	91	92	95	91	95	94	93	95	94	92	92	94	95	96	94	95	96	95	95	92	93	93	95	96	94	96	92	95	94	94	94	94	93	91	95
ENSG00000164099.4	76	80	37	57	50	55	59	37	62	47	67	37	72	63	60	53	65	40	38	63	47	39	31	57	67	62	43	26	49	33	60	58	51	34	34	51	53	32	47	73	86	68	89	77	83	89	84	76	73	88	79	74	39	49	40	67	40	79	81	84	61	83	76	78	66	42	71	56	58	63	39	61	82	68	73	47	67	32	74	55	69	55	28	69	49	77	49	27	68	57	58	35	79	65	75	82	80	80	91	84	66	80	85	91	90	66	80	37	42	88	77	81	85	84	83	91
