	SRR7093809	SRR7093811	SRR7093812	SRR7093813	SRR7093814	SRR7093815	SRR7093816	SRR7093819	SRR7093821	SRR7093822	SRR7093824	SRR7093826	SRR7093827	SRR7093828	SRR7093829	SRR7093830	SRR7093832	SRR7093833	SRR7093834	SRR7093835	SRR7093836	SRR7093838	SRR7093839	SRR7093840	SRR7093842	SRR7093843	SRR7093845	SRR7093846	SRR7093847	SRR7093848	SRR7093850	SRR7093852	SRR7093854	SRR7093855	SRR7093856	SRR7093857	SRR7093858	SRR7093859	SRR7093860	SRR7093861	SRR7093862	SRR7093863	SRR7093864	SRR7093865	SRR7093866	SRR7093867	SRR7093869	SRR7093870	SRR7093871	SRR7093872	SRR7093873	SRR7093874	SRR7093875	SRR7093876	SRR7093877	SRR7093878	SRR7093879	SRR7093882	SRR7093883	SRR7093884	SRR7093887	SRR7093888	SRR7093889	SRR7093890	SRR7093891	SRR7093892	SRR7093893	SRR7093894	SRR7093895	SRR7093896	SRR7093897	SRR7093898	SRR7093899	SRR7093900	SRR7093901	SRR7093902	SRR7093903	SRR7093904	SRR7093905	SRR7093906	SRR7093907	SRR7093908	SRR7093909	SRR7093910	SRR7093911	SRR7093912	SRR7093913	SRR7093914	SRR7093915	SRR7093916	SRR7093917	SRR7093918	SRR7093919	SRR7093920	SRR7093921	SRR7093922	SRR7093923	SRR7093924	SRR7093925	SRR7093926	SRR7093927	SRR7093929	SRR7093930	SRR7093931	SRR7093932	SRR7093933	SRR7093934	SRR7093937	SRR7093940	SRR7093942	SRR7093943	SRR7093945	SRR7093946	SRR7093947	SRR7093948	SRR7093950
ENSG00000000003.17	40	50	53	53	48	57	60	43	60	58	57	50	62	56	43	46	55	46	47	53	61	52	45	55	48	60	52	48	48	53	52	42	47	58	48	46	45	41	44	66	70	68	61	62	59	61	60	72	57	66	61	43	47	53	48	36	58	46	31	51	39	55	51	54	55	53	53	53	55	46	42	49	59	50	52	60	49	50	50	49	49	40	49	57	47	56	54	47	55	51	51	50	62	61	60	60	61	60	62	64	49	61	50	51	62	48	45	52	53	52	44	47	48	51	46	55
ENSG00000000419.15	59	54	62	59	59	61	69	55	62	65	61	58	63	56	58	54	61	55	58	62	56	57	55	58	59	64	62	56	59	61	64	56	54	59	57	57	56	45	52	69	73	70	63	74	63	69	70	72	67	72	72	58	61	62	62	61	64	54	63	61	55	65	62	62	64	57	67	59	54	54	53	60	62	56	64	68	66	59	56	57	55	60	51	58	60	66	64	58	59	65	55	57	65	56	67	66	68	65	61	63	59	63	50	64	67	59	65	62	62	68	71	59	57	59	58	64
ENSG00000000457.15	33	31	31	28	30	27	36	28	37	34	34	30	39	37	28	29	35	32	32	30	30	29	32	29	29	35	35	31	31	29	32	29	28	33	31	27	27	26	25	45	49	48	42	40	36	39	47	47	42	43	44	28	29	31	32	34	33	39	40	34	31	31	28	33	29	27	35	32	31	30	33	33	30	28	27	28	27	30	33	33	30	34	33	38	28	33	31	29	36	30	28	29	34	37	41	40	41	40	43	44	33	33	33	33	40	30	47	32	35	37	36	35	31	33	34	36
ENSG00000000460.18	37	40	39	40	39	41	43	44	41	38	20	35	17	23	35	41	24	40	45	51	15	49	37	34	50	19	39	38	47	38	33	42	31	30	45	41	42	21	41	23	26	19	20	17	21	28	26	26	31	25	22	44	40	47	44	28	45	20	26	35	32	30	41	46	44	34	35	35	36	33	33	38	35	40	35	39	36	26	40	38	37	41	32	21	39	26	40	31	21	42	36	34	29	23	21	19	21	21	23	24	39	29	30	29	23	43	20	35	26	21	21	39	35	33	37	36
ENSG00000000971.18	23	31	47	23	28	36	62	20	30	50	68	53	34	61	30	45	78	18	27	35	56	35	43	44	18	52	39	27	16	15	75	26	37	25	50	36	36	23	44	68	67	78	66	75	62	70	40	46	63	63	44	18	11	24	8	27	13	17	29	9	19	21	32	29	24	34	19	20	21	50	23	22	26	10	3	53	11	32	32	32	47	10	17	50	31	38	32	33	25	37	31	29	29	59	74	17	70	67	56	47	27	18	52	36	19	25	37	12	12	80	32	11	29	56	36	25
ENSG00000001167.16	71	70	68	67	69	69	64	68	70	69	62	63	64	64	66	67	63	69	70	72	65	71	71	65	67	64	68	71	69	66	61	66	61	69	61	68	68	67	72	68	64	66	62	57	63	65	65	65	67	64	67	68	63	70	62	65	67	59	62	66	63	62	61	64	62	67	68	70	67	69	71	67	61	68	62	62	55	69	69	66	64	71	64	64	65	66	65	70	57	67	67	67	60	55	59	57	56	55	63	61	71	62	65	64	64	66	58	65	63	59	57	75	72	68	69	68
ENSG00000001460.19	33	53	57	47	51	47	52	41	43	55	31	58	34	38	49	49	29	37	36	41	48	50	47	48	45	34	52	49	45	43	40	40	56	51	62	49	50	47	55	30	38	37	34	29	31	39	36	52	31	39	53	34	42	38	52	41	51	42	59	43	45	44	44	49	48	27	57	42	41	43	50	46	51	50	50	53	44	49	52	44	43	44	49	46	46	39	37	47	35	45	43	43	36	44	49	45	46	43	44	42	52	42	53	50	51	40	39	42	41	39	34	44	41	34	42	47
ENSG00000001461.20	82	95	97	94	94	93	92	89	88	93	84	93	81	92	94	94	84	90	91	89	89	92	93	93	87	86	94	90	89	91	93	93	96	97	97	95	95	95	96	82	83	83	82	74	79	85	84	95	82	83	96	91	91	84	94	86	91	90	91	91	91	94	95	93	92	91	89	90	96	97	96	95	94	94	94	92	90	90	96	93	92	93	89	95	94	86	93	94	89	92	94	94	87	92	93	87	91	93	95	90	94	94	94	92	95	92	93	93	93	92	81	93	93	89	94	94
ENSG00000001497.19	64	62	60	55	62	65	56	62	56	61	56	60	53	57	63	57	50	63	63	62	58	65	59	62	64	57	60	62	61	57	55	62	59	64	58	63	64	65	64	57	55	51	53	58	53	53	53	62	58	55	44	64	58	59	59	63	56	61	62	63	67	55	57	59	58	61	57	59	54	59	57	62	59	60	56	58	52	56	59	62	57	60	49	63	56	59	53	59	51	51	52	55	55	62	59	56	63	64	60	59	64	59	60	59	56	62	54	60	58	61	60	68	63	62	63	60
ENSG00000001630.19	64	64	78	67	64	69	58	59	63	62	82	74	76	81	73	71	77	63	72	71	83	77	63	74	65	81	71	70	65	65	76	71	72	75	70	70	67	76	68	84	85	86	78	82	82	79	82	86	79	86	81	71	72	68	65	53	68	77	60	66	63	72	65	65	70	67	70	76	67	71	72	68	80	69	69	76	67	71	61	63	69	68	67	72	65	73	68	75	76	59	74	69	79	76	80	77	80	77	82	78	65	70	74	69	78	66	72	71	74	75	65	66	73	68	66	71
ENSG00000001631.18	59	50	55	63	65	65	66	59	62	64	66	57	69	66	60	60	60	57	61	64	73	61	64	61	65	71	67	60	65	64	66	58	56	62	59	58	65	43	56	71	73	66	68	64	73	66	70	72	72	72	74	75	61	60	55	51	68	54	52	59	42	67	58	66	60	48	68	67	60	64	58	65	61	62	58	76	57	63	62	59	60	61	62	66	63	63	65	72	63	58	60	59	68	62	67	79	74	65	75	67	66	61	59	66	65	57	65	64	67	62	68	62	60	56	55	55
ENSG00000002822.17	49	51	54	56	56	45	51	60	46	56	43	49	40	57	59	58	55	53	50	37	46	50	44	47	57	34	51	61	47	44	48	52	61	47	66	52	56	62	64	31	43	37	52	54	49	34	29	42	45	37	57	52	47	48	43	48	53	51	49	53	65	44	52	47	47	52	43	56	54	47	58	53	47	56	48	51	52	50	49	45	42	50	47	54	40	46	49	46	35	46	55	54	50	50	45	32	39	43	49	46	62	48	53	46	37	40	42	47	43	40	36	71	58	52	50	49
ENSG00000003393.17	71	67	73	64	62	66	77	62	63	71	70	77	73	68	66	65	73	65	67	67	68	64	67	74	62	65	74	62	60	63	68	67	66	62	66	66	61	58	61	70	78	70	75	73	71	81	69	85	71	79	74	67	58	68	59	77	67	64	66	70	62	72	66	65	68	55	69	74	55	71	65	67	70	63	68	69	67	68	68	67	64	65	61	70	68	68	65	67	67	65	67	64	78	81	74	78	77	78	79	75	72	64	76	81	75	70	78	68	68	72	66	73	76	75	79	80
ENSG00000003400.17	15	22	24	22	23	22	27	26	18	25	32	26	24	28	19	15	21	20	18	26	25	24	23	18	22	29	26	22	25	21	21	25	22	17	23	25	22	23	23	39	38	34	30	32	35	33	35	36	35	31	35	13	13	16	12	17	21	15	13	17	15	21	18	21	12	11	17	21	8	25	22	17	20	15	12	16	19	17	17	19	19	17	23	27	19	30	22	14	31	18	22	23	19	24	30	21	32	32	33	31	18	14	27	20	25	18	16	22	23	9	11	9	10	13	2	6
ENSG00000004059.12	82	80	75	82	79	76	80	77	78	75	88	79	87	84	83	80	85	80	71	75	88	78	81	77	72	88	77	77	75	83	79	81	77	73	79	79	77	84	78	85	82	87	88	91	86	84	86	80	87	84	83	82	82	84	83	86	79	86	82	88	88	89	84	82	82	84	85	84	83	84	83	78	82	82	82	80	84	85	80	79	83	81	82	84	78	87	82	82	90	81	83	82	84	88	86	87	85	84	82	86	83	83	83	84	84	81	87	85	87	86	89	85	86	84	80	85
ENSG00000004142.13	86	85	85	86	85	85	83	86	84	86	81	86	82	83	86	86	82	86	84	85	84	85	84	88	85	84	84	86	83	85	86	85	86	85	87	86	86	88	86	84	79	83	83	87	84	83	83	84	84	80	84	86	83	84	85	88	84	86	83	86	86	84	84	85	82	87	88	86	85	84	84	85	85	86	83	83	83	86	86	86	85	85	84	85	85	88	83	84	85	83	83	85	83	85	84	85	83	85	84	85	87	83	84	84	83	83	84	84	83	86	82	86	86	85	86	86
ENSG00000004399.14	94	89	92	91	94	89	93	91	90	92	94	91	94	94	92	89	96	91	92	88	94	89	92	92	88	96	94	90	91	94	97	92	85	87	86	92	89	87	92	94	91	93	95	94	95	94	93	93	92	88	95	84	91	88	89	96	91	96	96	90	93	94	92	90	94	92	93	95	95	90	93	94	96	94	94	93	87	95	93	95	94	94	97	95	92	95	88	96	96	94	92	94	93	94	97	95	95	96	93	97	95	97	92	95	95	95	96	93	96	97	94	96	96	94	96	95
ENSG00000004534.16	73	81	77	77	70	73	87	71	85	84	84	71	83	80	73	70	83	70	73	73	79	76	72	68	77	79	79	73	69	77	71	73	64	75	72	70	74	69	71	76	83	78	74	85	81	82	76	77	74	85	76	79	67	81	72	81	81	81	78	80	76	68	76	72	72	70	68	73	74	76	77	76	69	73	76	72	73	81	69	72	73	73	82	80	74	82	80	79	80	76	80	74	86	84	80	84	86	86	85	85	79	83	81	80	77	73	81	73	81	73	80	79	77	75	77	78
ENSG00000004660.16	36	48	65	51	33	48	37	53	39	38	42	60	32	39	57	57	31	66	54	54	48	61	59	31	51	37	50	57	51	55	54	37	48	54	43	33	50	45	57	33	37	32	40	38	28	37	32	36	57	36	57	42	53	44	41	22	57	33	47	36	53	53	56	36	42	62	33	44	51	40	44	40	43	55	56	49	58	51	71	40	62	38	37	43	39	40	52	34	42	53	48	32	23	30	24	31	30	26	19	25	43	60	56	33	32	31	21	38	32	30	26	35	43	37	34	39
ENSG00000004799.9	1	12	6	22	29	30	46	18	48	41	30	11	13	19	10	12	12	16	12	22	22	9	21	3	8	11	18	7	17	16	9	15	9	19	13	14	3	2	7	37	34	43	37	30	35	32	35	12	36	32	18	7	3	5	12	2	8	6	4	1	5	11	9	6	5	8	0	4	19	2	5	7	11	15	15	26	12	2	15	15	13	6	7	21	5	4	19	3	10	35	19	13	23	15	28	20	37	31	19	17	5	12	13	13	13	10	8	10	18	13	18	10	6	7	2	3
ENSG00000004897.13	90	93	90	93	89	92	95	92	93	93	87	91	87	88	91	91	88	92	93	91	88	92	91	92	93	85	88	92	92	87	91	90	91	89	88	89	92	88	91	86	81	84	84	77	84	87	84	86	88	86	90	92	90	92	92	93	93	90	90	90	85	86	92	92	89	92	90	88	88	89	90	90	89	91	89	88	89	88	90	91	90	90	91	88	90	89	88	86	87	87	86	88	83	82	81	81	86	80	85	86	88	85	86	88	86	90	88	89	82	88	88	89	88	88	89	89
ENSG00000005022.7	93	92	90	88	88	90	85	90	83	84	81	89	76	79	90	90	84	92	93	90	81	93	87	91	92	78	90	92	90	88	88	90	89	86	92	91	91	85	92	76	77	72	80	83	80	79	75	78	85	71	78	91	88	88	91	91	89	85	86	91	91	86	89	90	87	91	91	91	84	86	87	90	87	91	85	84	90	86	90	89	90	89	85	80	91	84	83	84	84	85	86	88	84	84	76	81	80	76	75	78	93	86	90	87	79	91	79	90	81	87	87	91	91	91	91	91
ENSG00000005075.17	46	48	45	47	48	45	30	46	37	36	38	51	40	42	43	45	44	47	47	43	48	47	47	48	49	46	46	44	47	52	49	47	49	45	49	49	49	53	49	32	29	36	41	44	37	30	33	35	38	32	34	51	49	51	50	52	48	51	54	48	59	50	49	49	45	57	55	47	45	46	46	54	43	51	42	46	50	51	46	49	43	43	48	43	47	45	45	45	45	40	46	51	38	43	35	42	40	45	41	39	54	49	48	48	51	51	47	50	44	52	50	47	45	48	49	44
ENSG00000005100.13	67	61	60	56	60	59	54	62	53	58	56	63	54	53	56	60	56	59	59	60	56	58	55	65	60	52	56	60	60	52	59	62	56	60	61	55	57	59	63	55	56	56	51	43	51	54	53	56	58	54	47	62	59	63	57	65	56	57	53	59	47	47	52	53	55	50	57	62	51	55	49	58	53	57	55	50	51	56	56	64	60	55	45	59	56	57	54	55	55	54	52	55	52	50	51	50	55	47	58	55	62	55	57	52	57	57	62	56	50	54	56	58	58	57	59	60
ENSG00000005189.21	28	31	16	20	27	25	36	33	39	36	14	26	13	12	23	29	10	24	28	28	18	31	29	29	26	15	27	23	32	22	27	37	19	19	23	36	30	24	36	23	25	17	14	16	19	28	17	37	21	11	16	30	20	29	25	23	27	16	19	26	29	26	25	29	33	20	22	26	36	22	26	34	23	30	23	23	20	18	31	28	22	27	20	30	31	21	24	23	19	30	21	28	17	19	15	18	16	12	20	17	35	21	25	24	19	30	17	31	23	18	23	27	30	24	26	25
ENSG00000005206.18	57	61	50	59	62	43	37	56	44	54	67	57	62	65	64	62	62	60	55	53	62	58	61	53	55	64	51	60	51	56	66	61	61	57	53	59	58	67	61	45	27	23	52	39	56	22	35	24	38	21	39	61	54	58	58	64	52	67	67	57	68	57	58	52	50	58	54	56	55	59	66	65	58	57	53	51	59	66	59	60	60	58	61	64	65	60	59	59	61	52	55	69	52	49	46	45	43	50	52	55	63	67	57	67	61	54	63	60	65	50	52	57	59	59	55	40
ENSG00000005436.15	25	23	28	21	25	37	28	25	27	24	25	33	24	24	29	28	24	35	23	31	22	25	23	29	27	27	26	30	28	30	37	25	28	27	36	28	32	21	27	46	48	47	48	47	32	46	48	46	40	57	41	24	28	30	25	29	30	23	18	24	21	35	23	27	37	31	23	28	21	20	23	30	28	21	29	35	28	23	35	27	23	24	25	25	28	33	29	27	30	33	31	24	44	37	42	45	51	53	49	33	32	29	23	23	28	27	41	23	33	30	34	24	22	22	23	29
ENSG00000005469.13	35	32	33	37	38	36	37	34	43	37	50	39	43	36	36	32	39	35	38	42	40	29	34	36	36	47	42	33	36	38	40	38	33	36	42	40	34	29	33	49	54	55	48	48	49	63	50	62	53	58	57	43	30	36	31	27	35	34	33	40	24	40	32	38	34	27	40	36	34	40	34	36	46	36	44	33	38	39	33	36	36	39	38	44	35	35	33	41	49	33	34	38	47	44	53	46	52	49	54	51	33	39	35	35	50	38	40	34	44	45	45	39	37	37	42	43
ENSG00000005471.20	5	12	2	12	5	16	21	16	24	24	33	5	7	21	10	6	7	18	15	17	20	15	20	1	2	22	7	5	11	9	1	12	14	10	10	11	3	1	7	32	31	51	34	49	43	43	19	11	27	37	7	6	4	9	3	10	9	9	14	12	6	4	7	3	8	14	8	2	6	3	4	9	12	13	11	13	6	9	2	12	12	9	13	6	1	3	15	12	12	13	23	11	21	19	48	11	30	34	17	17	4	10	14	21	26	5	0	12	10	3	17	2	0	7	10	23
ENSG00000005810.21	90	82	85	84	89	89	89	89	85	90	93	82	91	93	84	77	86	81	90	87	93	86	89	81	89	91	86	89	80	89	84	87	84	83	84	86	82	89	88	90	93	94	90	91	94	92	92	93	91	94	91	88	80	81	78	92	85	92	87	86	77	82	82	84	79	81	83	88	89	85	83	82	91	76	82	82	87	90	86	85	85	91	87	94	87	90	86	88	92	90	89	89	93	94	95	95	95	96	93	95	86	85	88	90	90	85	84	89	93	84	90	93	82	86	87	90
ENSG00000005893.18	89	91	91	93	91	92	93	91	93	90	93	92	95	93	92	92	94	92	92	91	94	90	93	91	90	93	92	91	93	92	93	92	92	92	93	93	90	87	91	95	95	95	95	95	94	95	95	96	94	96	95	87	91	89	90	90	91	91	91	91	88	94	93	92	92	90	93	93	94	93	93	93	93	92	94	93	90	93	91	94	92	92	94	94	91	93	92	94	93	92	93	93	95	95	95	95	95	94	95	95	91	92	92	93	93	93	93	92	94	94	94	93	93	92	93	94
ENSG00000006007.13	74	75	77	72	73	72	67	67	70	68	78	66	76	77	72	69	77	71	74	69	84	65	70	78	69	77	74	72	68	74	75	74	78	81	75	78	74	77	74	84	83	84	84	83	86	86	83	87	81	84	84	75	76	66	72	72	79	85	83	79	71	82	80	76	81	78	83	76	82	79	81	80	81	78	72	67	70	79	78	75	74	75	79	83	76	78	71	81	78	70	80	77	86	88	87	84	87	88	88	87	72	83	80	78	82	77	73	78	83	85	81	73	73	79	78	78
ENSG00000006015.19	26	29	29	29	35	28	18	25	19	21	27	37	33	33	32	35	28	35	27	24	35	25	33	30	33	29	29	31	26	32	24	31	43	29	32	35	31	44	29	11	19	15	25	37	22	15	25	9	24	11	16	25	35	32	36	30	28	42	27	28	44	32	33	33	33	41	36	28	38	40	42	32	32	34	28	31	35	34	26	30	27	32	26	33	31	34	20	37	34	26	25	34	19	29	27	29	19	25	20	25	33	28	30	31	38	31	34	36	29	40	30	34	28	28	32	22
ENSG00000006042.13	80	75	75	72	74	79	77	74	78	77	89	67	87	85	77	79	82	77	79	76	89	76	76	73	73	88	77	75	72	79	78	76	77	79	73	80	73	74	72	88	87	87	91	92	90	87	89	83	87	88	78	73	80	80	71	70	77	85	68	80	77	84	80	75	80	78	79	83	81	80	81	72	81	73	74	79	76	83	77	75	77	77	82	88	73	84	82	79	83	75	80	76	87	91	91	90	89	92	87	87	75	82	81	81	84	74	78	80	81	82	83	78	79	75	76	72
ENSG00000006194.12	47	46	51	46	45	45	56	47	54	50	53	49	55	53	50	45	55	48	47	46	54	49	51	47	43	50	46	50	43	46	49	42	51	55	46	49	44	52	46	59	61	65	58	62	63	59	60	57	55	59	58	47	55	51	52	56	49	54	51	53	56	56	51	49	47	50	49	54	52	47	51	45	49	48	50	47	47	52	47	44	45	45	49	48	45	48	53	50	49	47	42	52	49	54	58	61	56	53	54	56	47	51	49	48	52	43	56	49	44	55	48	47	45	48	47	48
ENSG00000006282.23	76	70	76	79	79	82	82	79	83	78	85	76	84	86	85	71	78	78	72	82	85	73	85	77	72	78	77	68	76	78	60	77	72	79	75	79	69	83	71	78	68	73	79	79	85	76	79	77	82	72	73	72	64	74	75	62	60	84	77	76	76	86	73	73	66	79	75	70	87	83	83	69	82	69	67	73	62	84	66	72	71	78	79	81	73	86	62	83	81	73	80	77	85	83	84	82	84	85	81	79	73	82	72	76	80	73	76	80	80	82	84	81	72	73	76	66
ENSG00000006327.15	92	94	96	92	94	90	87	93	90	90	88	94	91	92	95	95	94	95	95	91	90	94	94	96	94	90	94	95	95	92	95	95	97	96	93	95	95	97	96	82	69	76	83	85	82	79	81	78	79	70	87	95	96	94	95	93	96	96	97	95	97	93	95	95	97	97	96	94	94	95	96	95	95	95	96	96	96	93	94	93	96	96	97	92	93	95	94	94	93	95	95	95	91	92	89	93	89	92	92	91	93	94	93	92	94	94	94	95	94	94	89	93	93	93	93	90
ENSG00000006606.9	2	4	16	4	15	6	2	13	9	2	3	12	4	5	9	8	11	9	16	4	6	6	8	26	9	5	8	21	13	10	10	10	15	31	7	7	10	6	13	4	5	7	7	4	5	5	3	12	3	6	16	8	19	13	15	13	16	8	14	17	13	14	15	15	16	31	17	8	18	7	7	6	16	17	16	18	10	8	11	12	7	10	15	5	10	9	12	13	7	5	13	16	6	5	2	1	6	1	6	3	4	9	5	2	14	12	13	13	14	9	4	3	4	10	2	9
ENSG00000006634.9	46	51	49	43	47	55	49	52	57	52	29	49	27	32	50	51	37	54	47	61	28	59	40	55	56	32	40	48	67	46	37	54	31	38	54	45	50	24	44	29	36	35	27	31	29	38	34	37	38	37	27	48	45	52	55	32	56	25	25	37	31	47	49	64	60	36	50	51	39	42	40	49	38	57	51	56	52	44	46	58	51	46	32	30	61	32	52	36	22	47	46	48	35	27	26	28	32	20	34	26	52	32	41	39	34	56	18	48	35	25	28	47	40	40	50	44
ENSG00000006638.14	12	16	22	16	19	12	18	16	14	18	12	18	14	20	17	21	15	22	17	15	19	12	17	13	23	13	19	13	18	18	20	17	26	23	20	15	20	20	23	4	6	19	10	12	10	14	12	16	9	12	15	20	18	17	17	27	17	18	13	13	18	17	18	12	18	22	14	17	18	18	22	15	16	12	14	17	19	13	16	17	15	16	16	18	12	20	16	25	19	14	16	18	14	16	11	13	12	10	14	11	15	18	14	14	12	15	40	12	12	17	19	16	18	19	21	16
ENSG00000006652.15	57	51	60	72	70	60	70	67	64	73	61	63	78	60	57	60	69	60	61	61	65	57	58	58	63	69	56	66	62	59	67	62	62	73	60	55	55	69	53	79	78	76	64	70	72	76	71	70	65	77	80	59	63	61	66	83	64	64	84	65	61	58	63	69	65	64	65	60	59	64	65	66	62	64	75	76	68	67	70	68	64	68	64	55	67	74	73	63	62	82	66	64	73	71	81	84	80	77	73	78	64	63	59	67	71	60	79	61	76	73	68	57	54	61	62	67
ENSG00000006712.16	78	74	70	73	74	75	74	77	75	78	72	72	68	70	75	71	71	75	74	77	69	75	73	73	75	70	74	70	75	73	69	77	76	67	74	75	75	77	77	71	61	68	66	73	68	67	63	66	70	70	65	75	69	68	75	71	74	73	76	73	75	70	69	76	74	76	78	69	74	72	72	75	69	76	67	69	71	73	74	75	73	73	71	72	75	68	72	72	74	70	71	73	67	72	64	65	65	70	66	70	77	74	75	74	68	74	65	71	71	67	72	78	77	75	79	75
ENSG00000006837.12	4	4	6	7	5	13	9	5	9	5	9	9	12	12	11	4	6	8	2	4	11	5	11	7	12	9	6	15	9	6	8	6	11	4	5	2	6	10	7	13	19	11	9	10	10	18	17	20	14	13	7	8	14	12	9	9	13	1	9	11	2	14	6	9	8	11	3	7	12	5	12	5	6	9	6	10	4	8	6	10	8	3	7	16	15	9	6	10	4	7	6	3	8	15	15	15	14	13	11	13	9	6	5	6	13	10	20	8	16	8	15	11	10	10	13	13
ENSG00000007080.12	62	61	59	64	63	58	60	69	59	67	54	62	57	49	61	63	56	64	59	59	50	59	55	62	58	54	57	57	61	58	59	59	66	57	60	57	62	64	64	43	22	27	47	57	50	35	42	17	45	29	39	64	64	61	66	66	57	68	46	63	73	58	62	57	61	73	70	61	63	56	57	59	62	62	59	59	68	58	54	63	59	61	62	53	55	65	57	58	53	58	45	57	48	53	48	53	46	46	44	48	67	61	56	63	56	58	55	59	57	61	58	61	61	60	57	52
ENSG00000007255.11	16	10	7	5	4	7	10	10	7	12	17	8	26	17	14	11	14	11	3	7	16	5	13	10	6	25	9	5	7	9	8	11	8	11	7	8	6	13	8	17	12	12	26	26	22	12	12	6	12	13	2	10	11	11	10	20	7	19	9	15	11	13	11	8	7	13	17	12	7	11	13	10	17	11	10	3	10	12	6	6	13	6	8	14	7	21	8	13	20	6	13	10	17	22	21	18	20	26	20	16	12	20	14	14	16	13	25	11	15	20	19	17	15	14	14	13
ENSG00000007376.9	47	43	45	32	45	39	29	47	26	35	32	44	38	40	42	42	36	43	48	32	38	39	41	50	40	32	33	44	38	37	39	39	59	55	48	44	47	44	47	21	11	12	31	29	26	9	16	18	21	12	17	42	46	41	44	38	32	38	42	33	47	40	41	34	33	46	46	40	37	35	38	37	39	36	37	41	43	37	36	35	37	33	36	34	35	34	34	35	35	39	33	38	25	32	26	25	27	27	19	20	37	34	32	30	42	32	42	31	34	37	35	31	36	38	38	27
ENSG00000007392.18	53	58	50	49	52	52	54	50	55	66	67	60	64	63	55	48	60	52	57	60	59	63	54	52	58	67	62	58	51	59	59	53	54	54	54	45	58	54	52	66	71	68	58	70	63	59	66	60	55	67	61	63	65	63	57	66	64	63	61	59	59	56	55	61	56	60	65	61	52	55	53	52	58	53	56	68	61	62	59	50	60	54	62	52	55	62	62	54	58	60	58	60	60	60	58	62	66	68	63	63	59	58	62	56	63	56	61	57	57	58	66	63	60	56	59	65
ENSG00000007520.5	59	61	64	55	64	55	42	56	50	53	56	61	57	61	59	62	55	64	62	58	61	57	60	65	63	60	60	60	59	62	62	64	72	66	69	65	68	70	67	44	27	34	49	62	55	34	39	28	48	32	35	66	68	66	67	61	51	67	64	58	76	62	64	60	61	66	67	57	60	64	59	61	65	64	58	64	67	61	54	60	58	60	65	61	61	64	54	62	59	55	58	66	40	57	50	55	44	53	41	45	64	64	61	59	69	62	65	63	50	63	61	63	63	63	63	49
ENSG00000007944.16	20	13	11	13	19	16	25	20	27	22	36	14	25	29	18	15	23	14	11	22	30	15	22	11	11	32	12	14	14	20	20	16	11	15	21	23	13	11	17	46	47	65	47	43	33	42	44	37	29	42	27	2	17	11	14	21	14	10	5	12	21	16	17	20	20	18	13	16	19	15	16	18	13	21	20	16	13	14	22	12	24	18	20	20	15	14	19	16	24	24	25	16	25	25	31	13	23	30	9	21	15	23	25	20	14	14	26	12	23	18	32	23	14	16	13	14
ENSG00000007968.8	20	11	13	7	15	9	7	21	6	8	6	8	1	3	8	13	2	10	17	10	5	14	9	11	19	6	7	12	11	9	15	16	6	12	11	18	20	10	19	2	5	4	7	5	5	7	7	5	9	3	19	16	15	11	16	12	12	6	17	17	20	16	20	15	16	10	13	15	17	14	14	26	2	15	14	13	15	11	14	16	12	16	14	5	16	8	17	15	5	16	17	11	14	8	2	5	3	1	6	4	13	12	16	9	4	17	4	14	7	2	6	19	14	11	15	13
ENSG00000008130.16	67	82	71	61	71	80	67	80	63	70	84	68	64	67	87	81	73	90	75	72	66	68	67	73	70	65	77	82	68	74	75	78	79	89	74	68	86	72	71	62	54	51	65	57	64	53	75	53	85	52	52	80	67	78	82	76	68	68	87	79	75	77	75	78	65	85	67	85	84	88	72	81	75	82	61	81	83	67	65	68	74	67	83	72	77	83	64	74	66	74	75	73	70	73	69	65	77	63	78	64	79	68	77	64	71	67	68	77	68	78	70	77	70	75	79	76
ENSG00000008311.17	46	27	24	28	27	32	36	26	36	33	63	32	57	55	30	43	59	26	36	32	57	27	33	42	35	49	28	38	34	32	35	38	30	33	31	31	30	34	26	55	62	62	55	48	62	58	64	56	46	69	36	37	31	37	29	47	36	48	26	41	33	40	35	30	37	24	36	37	28	37	33	32	34	29	31	28	31	41	31	30	27	40	39	39	35	41	27	38	53	36	37	30	54	43	50	51	54	50	56	55	30	33	36	37	42	34	33	31	42	50	58	36	36	44	33	44
ENSG00000008710.20	93	92	87	93	93	86	83	91	84	85	94	91	94	93	94	92	94	95	91	88	91	92	94	87	91	93	89	93	89	92	92	92	92	91	90	93	93	95	93	81	61	58	87	79	90	65	80	70	80	59	78	92	91	91	94	92	86	95	94	90	94	90	93	88	91	92	92	89	91	95	95	93	92	91	88	89	95	94	93	92	94	93	96	93	93	93	90	94	94	88	94	92	89	90	88	91	82	90	83	86	94	94	91	94	93	92	95	94	95	91	92	92	93	93	87	85
ENSG00000008869.13	63	57	63	60	61	65	67	58	66	64	65	59	64	66	58	62	65	59	63	64	69	61	64	65	58	67	63	60	62	65	66	64	63	65	61	61	59	60	59	71	74	72	67	55	67	69	73	72	69	72	73	61	60	61	58	67	64	71	59	61	47	62	63	64	59	50	59	64	65	63	65	60	60	57	65	57	52	67	64	56	61	62	65	64	58	61	63	65	65	66	62	64	68	67	73	68	72	67	75	69	58	59	61	61	67	60	75	60	67	65	66	68	64	61	62	66
